arm,generator,init,synthetic_fraction,n_seeds,metric,mean,ci_lo,ci_hi
sub_p000,synth_closed,scratch,0.0,3,balanced_accuracy,0.6196197960178224,0.42870820791772557,0.8105313841179191
sub_p050,synth_closed,scratch,0.5,3,balanced_accuracy,0.42184236633249794,0.16706644636743573,0.6766182862975602
sub_p100,synth_closed,scratch,1.0,3,balanced_accuracy,0.32039082080200504,0.15898390553961836,0.4817977360643917
sub_p000,synth_open,scratch,0.0,3,balanced_accuracy,0.6196197960178224,0.42870820791772557,0.8105313841179191
sub_p050,synth_open,scratch,0.5,3,balanced_accuracy,0.3563444200779727,0.1528714092047613,0.5598174309511841
sub_p100,synth_open,scratch,1.0,3,balanced_accuracy,0.28299698900027853,0.2108175987068146,0.35517637929374246
